concept:name,german speaking,yearsOfEducation,age,gender,citizen,protected,married,@@case_index,activity,resource,time,@@index
1,false,8,25,true,false,false,false,0,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:42+00:00,0
1,false,8,25,true,false,false,false,0,Set Appointment,Real Estate Agent 5,2015-01-05T22:13:57+00:00,1
1,false,8,25,true,false,false,false,0,View The Property,Real Estate Agent 1,2015-01-06T20:27:22+00:00,2
1,false,8,25,true,false,false,false,0,Hand In The Paperwork,Real Estate Agent 4,2015-01-07T18:40:23+00:00,3
1,false,8,25,true,false,false,false,0,Check Paperwork,Lawyer 1,2015-01-08T08:33:22+00:00,4
1,false,8,25,true,false,false,false,0,Screen Prospective Tenant,Real Estate Agent 5,2015-01-08T16:53:32+00:00,5
1,false,8,25,true,false,false,false,0,Extensive Screening,Real Estate Agent 2,2015-01-09T15:05:32+00:00,6
1,false,8,25,true,false,false,false,0,Sign Contract,Real Estate Agent 1,2015-01-10T13:18:23+00:00,7
1,false,8,25,true,false,false,false,0,Move In,Landlord 1,2015-01-11T11:30:52+00:00,8
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-12T09:44:34+00:00,9
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-13T07:57:45+00:00,10
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-14T06:11:32+00:00,11
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-15T04:26:58+00:00,12
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-16T02:40:14+00:00,13
1,false,8,25,true,false,false,false,0,Miss Rent Payment,Tenant,2015-01-17T00:53:29+00:00,14
1,false,8,25,true,false,false,false,0,Issue Warning,Real Estate Agent 4,2015-01-17T23:08:21+00:00,15
1,false,8,25,true,false,false,false,0,Accept Late Payment,Real Estate Agent 1,2015-01-18T21:21:52+00:00,16
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-19T19:34:56+00:00,17
1,false,8,25,true,false,false,false,0,Miss Rent Payment,Tenant,2015-01-20T17:48:11+00:00,18
1,false,8,25,true,false,false,false,0,Issue Warning,Real Estate Agent 4,2015-01-21T16:01:40+00:00,19
1,false,8,25,true,false,false,false,0,Accept Late Payment,Real Estate Agent 1,2015-01-22T14:15:12+00:00,20
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-23T12:29:02+00:00,21
1,false,8,25,true,false,false,false,0,Pay Rent,Tenant,2015-01-24T10:43:09+00:00,22
1,false,8,25,true,false,false,false,0,Tenant Cancels Appartment,Tenant,2015-01-25T08:56:21+00:00,23
10,true,12,47,true,true,false,false,1,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:12+00:00,24
10,true,12,47,true,true,false,false,1,Set Appointment,Hotline,2015-01-05T22:14:14+00:00,25
10,true,12,47,true,true,false,false,1,View The Property,Real Estate Agent 2,2015-01-06T20:28:28+00:00,26
10,true,12,47,true,true,false,false,1,Hand In The Paperwork,Real Estate Agent 1,2015-01-07T18:42:10+00:00,27
10,true,12,47,true,true,false,false,1,Check Paperwork,Lawyer 3,2015-01-08T08:34:49+00:00,28
10,true,12,47,true,true,false,false,1,Screen Prospective Tenant,Real Estate Agent 1,2015-01-08T16:54:33+00:00,29
10,true,12,47,true,true,false,false,1,Reject Prospective Tenant,Real Estate Agent 1,2015-01-09T15:07:12+00:00,30
100,false,11,45,true,false,true,false,2,Apply for Viewing Appointment,Real Estate Agent 4,2015-01-05T00:02:57+00:00,31
100,false,11,45,true,false,true,false,2,Set Appointment,Real Estate Agent 1,2015-01-06T01:02:19+00:00,32
100,false,11,45,true,false,true,false,2,View The Property,Real Estate Agent 2,2015-01-07T02:01:42+00:00,33
100,false,11,45,true,false,true,false,2,Hand In The Paperwork,Real Estate Agent 1,2015-01-08T03:01:04+00:00,34
100,false,11,45,true,false,true,false,2,Check Paperwork,Lawyer 3,2015-01-08T08:34:13+00:00,35
100,false,11,45,true,false,true,false,2,Screen Prospective Tenant,Real Estate Agent 2,2015-01-09T04:00:03+00:00,36
100,false,11,45,true,false,true,false,2,Reject Prospective Tenant,Real Estate Agent 3,2015-01-10T04:59:02+00:00,37
1000,true,8,43,false,false,true,true,3,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:01:53+00:00,38
1000,true,8,43,false,false,true,true,3,Set Appointment,Hotline,2015-01-06T01:00:42+00:00,39
1000,true,8,43,false,false,true,true,3,View The Property,Real Estate Agent 2,2015-01-07T01:59:53+00:00,40
1000,true,8,43,false,false,true,true,3,Reject Prospective Tenant,Real Estate Agent 2,2015-01-08T03:00:20+00:00,41
10000,true,13,63,true,true,true,false,4,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:03:32+00:00,42
