concept:name,german speaking,yearsOfEducation,age,gender,citizen,protected,married,@@case_index,activity,resource,time,@@index
1,false,8,25,false,false,false,true,0,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:42+00:00,0
1,false,8,25,false,false,false,true,0,Set Appointment,Hotline,2015-01-05T22:13:57+00:00,1
1,false,8,25,false,false,false,true,0,View The Property,Real Estate Agent 5,2015-01-06T20:25:19+00:00,2
1,false,8,25,false,false,false,true,0,Reject Prospective Tenant,Real Estate Agent 2,2015-01-07T18:39:17+00:00,3
10,true,12,47,false,true,false,false,1,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:12+00:00,4
10,true,12,47,false,true,false,false,1,Reject Prospective Tenant,Real Estate Agent 2,2015-01-05T22:14:14+00:00,5
100,false,11,45,true,false,false,false,2,Apply for Viewing Appointment,Real Estate Agent 4,2015-01-05T00:02:57+00:00,6
100,false,11,45,true,false,false,false,2,Set Appointment,Hotline,2015-01-05T22:15:41+00:00,7
100,false,11,45,true,false,false,false,2,View The Property,Real Estate Agent 2,2015-01-06T20:28:34+00:00,8
100,false,11,45,true,false,false,false,2,Hand In The Paperwork,Real Estate Agent 3,2015-01-07T18:42:53+00:00,9
100,false,11,45,true,false,false,false,2,Check Paperwork,Lawyer 2,2015-01-08T08:36:34+00:00,10
100,false,11,45,true,false,false,false,2,Screen Prospective Tenant,Real Estate Agent 1,2015-01-08T16:56:37+00:00,11
100,false,11,45,true,false,false,false,2,Reject Prospective Tenant,Real Estate Agent 5,2015-01-09T15:10:33+00:00,12
1000,true,8,43,true,false,false,true,3,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:01:53+00:00,13
1000,true,8,43,true,false,false,true,3,Set Appointment,Real Estate Agent 1,2015-01-05T22:14:09+00:00,14
1000,true,8,43,true,false,false,true,3,View The Property,Real Estate Agent 1,2015-01-06T20:27:07+00:00,15
1000,true,8,43,true,false,false,true,3,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:40:39+00:00,16
1000,true,8,43,true,false,false,true,3,Check Paperwork,Lawyer 2,2015-01-08T08:33:49+00:00,17
1000,true,8,43,true,false,false,true,3,Screen Prospective Tenant,Real Estate Agent 1,2015-01-08T16:53:49+00:00,18
1000,true,8,43,true,false,false,true,3,Extensive Screening,Real Estate Agent 1,2015-01-09T15:07:43+00:00,19
1000,true,8,43,true,false,false,true,3,Sign Contract,Real Estate Agent 1,2015-01-10T13:21:40+00:00,20
1000,true,8,43,true,false,false,true,3,Move In,Landlord 1,2015-01-11T11:34:45+00:00,21
1000,true,8,43,true,false,false,true,3,Pay Rent,Tenant,2015-01-12T09:47:18+00:00,22
1000,true,8,43,true,false,false,true,3,Tenant Cancels Appartment,Tenant,2015-01-13T08:01:06+00:00,23
10000,true,3,83,true,true,true,false,4,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:03:32+00:00,24
10000,true,3,83,true,true,true,false,4,Set Appointment,Hotline,2015-01-06T01:03:41+00:00,25
10000,true,3,83,true,true,true,false,4,View The Property,Real Estate Agent 2,2015-01-07T02:04:29+00:00,26
10000,true,3,83,true,true,true,false,4,Hand In The Paperwork,Real Estate Agent 3,2015-01-08T03:04:00+00:00,27
10000,true,3,83,true,true,true,false,4,Check Paperwork,Lawyer 1,2015-01-08T08:37:00+00:00,28
10000,true,3,83,true,true,true,false,4,Screen Prospective Tenant,Real Estate Agent 2,2015-01-09T04:03:44+00:00,29
10000,true,3,83,true,true,true,false,4,Extensive Screening,Real Estate Agent 4,2015-01-10T05:04:36+00:00,30
10000,true,3,83,true,true,true,false,4,Sign Contract,Real Estate Agent 2,2015-01-11T06:05:22+00:00,31
10000,true,3,83,true,true,true,false,4,Move In,Landlord 3,2015-01-12T07:05:36+00:00,32
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-13T08:06:17+00:00,33
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-14T09:07:27+00:00,34
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-15T10:08:44+00:00,35
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-16T11:08:52+00:00,36
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-17T12:07:27+00:00,37
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-18T13:07:45+00:00,38
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-19T14:06:33+00:00,39
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-20T15:07:20+00:00,40
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-21T16:06:46+00:00,41
10000,true,3,83,true,true,true,false,4,Pay Rent,Tenant,2015-01-22T17:07:19+00:00,42
10000,true,3,83,true,true,true,false,4,Tenant Cancels Appartment,Tenant,2015-01-23T18:07:04+00:00,43
1001,true,6,35,true,true,false,true,5,Apply for Viewing Appointment,Real Estate Agent 3,2015-01-05T00:00:59+00:00,44
1001,true,6,35,true,true,false,true,5,Set Appointment,Real Estate Agent 2,2015-01-05T22:14:43+00:00,45
1001,true,6,35,true,true,false,true,5,View The Property,Real Estate Agent 1,2015-01-06T20:28:01+00:00,46
1001,true,6,35,true,true,false,true,5,Hand In The Paperwork,Real Estate Agent 3,2015-01-07T18:41:19+00:00,47
1001,true,6,35,true,true,false,true,5,Check Paperwork,Lawyer 3,2015-01-08T08:34:16+00:00,48
1001,true,6,35,true,true,false,true,5,Screen Prospective Tenant,Real Estate Agent 4,2015-01-08T16:53:26+00:00,49
1001,true,6,35,true,true,false,true,5,Extensive Screening,Real Estate Agent 2,2015-01-09T15:06:24+00:00,50
1001,true,6,35,true,true,false,true,5,Sign Contract,Real Estate Agent 2,2015-01-10T13:19:44+00:00,51
1001,true,6,35,true,true,false,true,5,Move In,Landlord 5,2015-01-11T11:33:44+00:00,52
1001,true,6,35,true,true,false,true,5,Pay Rent,Tenant,2015-01-12T09:47:12+00:00,53
1001,true,6,35,true,true,false,true,5,Tenant Cancels Appartment,Tenant,2015-01-13T08:00:10+00:00,54
1002,false,1,62,false,true,true,true,6,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:04+00:00,55
1002,false,1,62,false,true,true,true,6,Set Appointment,Real Estate Agent 1,2015-01-06T01:00:16+00:00,56
1002,false,1,62,false,true,true,true,6,View The Property,Real Estate Agent 1,2015-01-07T02:01:51+00:00,57
1002,false,1,62,false,true,true,true,6,Hand In The Paperwork,Real Estate Agent 1,2015-01-08T03:02:48+00:00,58
1002,false,1,62,false,true,true,true,6,Check Paperwork,Lawyer 3,2015-01-08T08:35:54+00:00,59
1002,false,1,62,false,true,true,true,6,Screen Prospective Tenant,Real Estate Agent 1,2015-01-09T04:03:09+00:00,60
1002,false,1,62,false,true,true,true,6,Reject Prospective Tenant,Real Estate Agent 5,2015-01-10T05:04:07+00:00,61
1003,true,2,64,false,true,true,false,7,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:01:37+00:00,62
1003,true,2,64,false,true,true,false,7,Set Appointment,Real Estate Agent 1,2015-01-06T01:01:20+00:00,63
1003,true,2,64,false,true,true,false,7,View The Property,Real Estate Agent 1,2015-01-07T02:02:36+00:00,64
1003,true,2,64,false,true,true,false,7,Hand In The Paperwork,Real Estate Agent 1,2015-01-08T03:02:31+00:00,65
1003,true,2,64,false,true,true,false,7,Check Paperwork,Lawyer 3,2015-01-08T08:36:26+00:00,66
1003,true,2,64,false,true,true,false,7,Screen Prospective Tenant,Real Estate Agent 4,2015-01-09T04:03:28+00:00,67
1003,true,2,64,false,true,true,false,7,Extensive Screening,Real Estate Agent 2,2015-01-10T05:01:17+00:00,68
1003,true,2,64,false,true,true,false,7,Reject Prospective Tenant,Real Estate Agent 3,2015-01-11T06:01:24+00:00,69
1004,false,1,56,false,false,true,true,8,Apply for Viewing Appointment,Real Estate Agent 5,2015-01-05T00:01:01+00:00,70
1004,false,1,56,false,false,true,true,8,Set Appointment,Hotline,2015-01-06T01:00:24+00:00,71
1004,false,1,56,false,false,true,true,8,View The Property,Real Estate Agent 2,2015-01-07T01:59:59+00:00,72
1004,false,1,56,false,false,true,true,8,Reject Prospective Tenant,Real Estate Agent 1,2015-01-08T02:59:38+00:00,73
1005,false,13,39,false,true,false,true,9,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:37+00:00,74
1005,false,13,39,false,true,false,true,9,Set Appointment,Real Estate Agent 1,2015-01-05T22:14:04+00:00,75
1005,false,13,39,false,true,false,true,9,View The Property,Real Estate Agent 2,2015-01-06T20:27:03+00:00,76
1005,false,13,39,false,true,false,true,9,Hand In The Paperwork,Real Estate Agent 1,2015-01-07T18:39:42+00:00,77
1005,false,13,39,false,true,false,true,9,Check Paperwork,Lawyer 3,2015-01-08T08:32:36+00:00,78
1005,false,13,39,false,true,false,true,9,Screen Prospective Tenant,Real Estate Agent 2,2015-01-08T16:52:36+00:00,79
1005,false,13,39,false,true,false,true,9,Sign Contract,Real Estate Agent 5,2015-01-09T15:05:52+00:00,80
1005,false,13,39,false,true,false,true,9,Move In,Landlord 2,2015-01-10T13:19:43+00:00,81
1005,false,13,39,false,true,false,true,9,Pay Rent,Tenant,2015-01-11T11:32:09+00:00,82
1005,false,13,39,false,true,false,true,9,Pay Rent,Tenant,2015-01-12T09:45:40+00:00,83
1005,false,13,39,false,true,false,true,9,Pay Rent,Tenant,2015-01-13T07:59:24+00:00,84
1005,false,13,39,false,true,false,true,9,Pay Rent,Tenant,2015-01-14T06:11:46+00:00,85
1005,false,13,39,false,true,false,true,9,Tenant Cancels Appartment,Tenant,2015-01-15T04:25:02+00:00,86
1006,true,7,53,true,true,false,true,10,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:34+00:00,87
1006,true,7,53,true,true,false,true,10,Set Appointment,Real Estate Agent 2,2015-01-05T22:14:54+00:00,88
1006,true,7,53,true,true,false,true,10,View The Property,Real Estate Agent 2,2015-01-06T20:27:15+00:00,89
1006,true,7,53,true,true,false,true,10,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:40:48+00:00,90
1006,true,7,53,true,true,false,true,10,Check Paperwork,Lawyer 2,2015-01-08T08:34:50+00:00,91
1006,true,7,53,true,true,false,true,10,Screen Prospective Tenant,Real Estate Agent 2,2015-01-08T16:54:49+00:00,92
1006,true,7,53,true,true,false,true,10,Reject Prospective Tenant,Real Estate Agent 5,2015-01-09T15:08:51+00:00,93
1007,true,17,52,false,false,false,true,11,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:03:11+00:00,94
1007,true,17,52,false,false,false,true,11,Set Appointment,Real Estate Agent 5,2015-01-05T22:15:49+00:00,95
1007,true,17,52,false,false,false,true,11,View The Property,Real Estate Agent 1,2015-01-06T20:29:27+00:00,96
1007,true,17,52,false,false,false,true,11,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:43:26+00:00,97
1007,true,17,52,false,false,false,true,11,Check Paperwork,Lawyer 2,2015-01-08T08:37:45+00:00,98
1007,true,17,52,false,false,false,true,11,Screen Prospective Tenant,Real Estate Agent 4,2015-01-08T16:57:01+00:00,99
1007,true,17,52,false,false,false,true,11,Extensive Screening,Real Estate Agent 5,2015-01-09T15:09:27+00:00,100
1007,true,17,52,false,false,false,true,11,Reject Prospective Tenant,Real Estate Agent 5,2015-01-10T13:23:38+00:00,101
1008,true,10,36,true,true,false,false,12,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:58+00:00,102
1008,true,10,36,true,true,false,false,12,Set Appointment,Real Estate Agent 1,2015-01-05T22:15:10+00:00,103
1008,true,10,36,true,true,false,false,12,View The Property,Real Estate Agent 5,2015-01-06T20:28:59+00:00,104
1008,true,10,36,true,true,false,false,12,Hand In The Paperwork,Real Estate Agent 1,2015-01-07T18:42:22+00:00,105
1008,true,10,36,true,true,false,false,12,Check Paperwork,Lawyer 3,2015-01-08T08:35:55+00:00,106
1008,true,10,36,true,true,false,false,12,Screen Prospective Tenant,Real Estate Agent 2,2015-01-08T16:55:29+00:00,107
1008,true,10,36,true,true,false,false,12,Sign Contract,Real Estate Agent 2,2015-01-09T15:08:00+00:00,108
1008,true,10,36,true,true,false,false,12,Move In,Landlord 1,2015-01-10T13:20:59+00:00,109
1008,true,10,36,true,true,false,false,12,Pay Rent,Tenant,2015-01-11T11:34:27+00:00,110
1008,true,10,36,true,true,false,false,12,Pay Rent,Tenant,2015-01-12T09:47:20+00:00,111
