concept:name,german speaking,yearsOfEducation,age,gender,citizen,protected,married,@@case_index,activity,resource,time,@@index
1,false,8,25,false,false,false,true,0,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:42+00:00,0
1,false,8,25,false,false,false,true,0,Set Appointment,Hotline,2015-01-05T22:13:57+00:00,1
1,false,8,25,false,false,false,true,0,View The Property,Real Estate Agent 5,2015-01-06T20:26:13+00:00,2
1,false,8,25,false,false,false,true,0,Hand In The Paperwork,Real Estate Agent 5,2015-01-07T18:38:04+00:00,3
1,false,8,25,false,false,false,true,0,Check Paperwork,Lawyer 2,2015-01-08T08:31:34+00:00,4
1,false,8,25,false,false,false,true,0,Screen Prospective Tenant,Real Estate Agent 1,2015-01-08T16:51:54+00:00,5
1,false,8,25,false,false,false,true,0,Sign Contract,Real Estate Agent 2,2015-01-09T15:06:16+00:00,6
1,false,8,25,false,false,false,true,0,Move In,Landlord 5,2015-01-10T13:19:19+00:00,7
1,false,8,25,false,false,false,true,0,Pay Rent,Tenant,2015-01-11T11:31:57+00:00,8
1,false,8,25,false,false,false,true,0,Pay Rent,Tenant,2015-01-12T09:45:42+00:00,9
1,false,8,25,false,false,false,true,0,Pay Rent,Tenant,2015-01-13T07:58:38+00:00,10
1,false,8,25,false,false,false,true,0,Tenant Cancels Appartment,Tenant,2015-01-14T06:10:17+00:00,11
10,true,12,47,true,true,false,false,1,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:12+00:00,12
10,true,12,47,true,true,false,false,1,Set Appointment,Real Estate Agent 2,2015-01-05T22:14:14+00:00,13
10,true,12,47,true,true,false,false,1,View The Property,Real Estate Agent 1,2015-01-06T20:28:16+00:00,14
10,true,12,47,true,true,false,false,1,Reject Prospective Tenant,Real Estate Agent 2,2015-01-07T18:41:53+00:00,15
100,false,11,45,true,false,false,false,2,Apply for Viewing Appointment,Real Estate Agent 4,2015-01-05T00:02:57+00:00,16
100,false,11,45,true,false,false,false,2,Set Appointment,Real Estate Agent 1,2015-01-05T22:15:41+00:00,17
100,false,11,45,true,false,false,false,2,View The Property,Real Estate Agent 3,2015-01-06T20:28:30+00:00,18
100,false,11,45,true,false,false,false,2,Hand In The Paperwork,Real Estate Agent 1,2015-01-07T18:41:07+00:00,19
100,false,11,45,true,false,false,false,2,Check Paperwork,Lawyer 1,2015-01-08T08:34:45+00:00,20
100,false,11,45,true,false,false,false,2,Screen Prospective Tenant,Real Estate Agent 2,2015-01-08T16:55:08+00:00,21
100,false,11,45,true,false,false,false,2,Extensive Screening,Real Estate Agent 5,2015-01-09T15:08:09+00:00,22
100,false,11,45,true,false,false,false,2,Reject Prospective Tenant,Real Estate Agent 2,2015-01-10T13:21:25+00:00,23
1000,false,3,53,true,false,true,true,3,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:01:53+00:00,24
1000,false,3,53,true,false,true,true,3,Set Appointment,Real Estate Agent 1,2015-01-06T01:00:42+00:00,25
1000,false,3,53,true,false,true,true,3,View The Property,Real Estate Agent 2,2015-01-07T02:00:45+00:00,26
1000,false,3,53,true,false,true,true,3,Hand In The Paperwork,Real Estate Agent 1,2015-01-08T03:01:18+00:00,27
1000,false,3,53,true,false,true,true,3,Check Paperwork,Lawyer 1,2015-01-08T08:35:15+00:00,28
1000,false,3,53,true,false,true,true,3,Screen Prospective Tenant,Real Estate Agent 2,2015-01-09T04:00:49+00:00,29
1000,false,3,53,true,false,true,true,3,Extensive Screening,Real Estate Agent 1,2015-01-10T05:00:29+00:00,30
1000,false,3,53,true,false,true,true,3,Reject Prospective Tenant,Real Estate Agent 1,2015-01-11T06:02:12+00:00,31
10000,true,8,73,true,true,true,false,4,Apply for Viewing Appointment,Real Estate Agent 2,2015-01-05T00:03:32+00:00,32
10000,true,8,73,true,true,true,false,4,Set Appointment,Real Estate Agent 2,2015-01-06T01:03:41+00:00,33
10000,true,8,73,true,true,true,false,4,View The Property,Real Estate Agent 5,2015-01-07T02:03:13+00:00,34
10000,true,8,73,true,true,true,false,4,Reject Prospective Tenant,Real Estate Agent 1,2015-01-08T03:03:56+00:00,35
1001,true,6,35,true,true,false,true,5,Apply for Viewing Appointment,Real Estate Agent 3,2015-01-05T00:00:59+00:00,36
1001,true,6,35,true,true,false,true,5,Set Appointment,Real Estate Agent 1,2015-01-05T22:14:43+00:00,37
1001,true,6,35,true,true,false,true,5,View The Property,Real Estate Agent 2,2015-01-06T20:27:50+00:00,38
1001,true,6,35,true,true,false,true,5,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:42:05+00:00,39
1001,true,6,35,true,true,false,true,5,Check Paperwork,Lawyer 1,2015-01-08T08:35:58+00:00,40
1001,true,6,35,true,true,false,true,5,Screen Prospective Tenant,Real Estate Agent 1,2015-01-08T16:56:15+00:00,41
1001,true,6,35,true,true,false,true,5,Extensive Screening,Real Estate Agent 2,2015-01-09T15:08:55+00:00,42
1001,true,6,35,true,true,false,true,5,Reject Prospective Tenant,Real Estate Agent 5,2015-01-10T13:22:36+00:00,43
1002,false,4,52,false,true,true,true,6,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:04+00:00,44
1002,false,4,52,false,true,true,true,6,Set Appointment,Hotline,2015-01-06T01:00:16+00:00,45
1002,false,4,52,false,true,true,true,6,View The Property,Real Estate Agent 1,2015-01-07T01:57:59+00:00,46
1002,false,4,52,false,true,true,true,6,Hand In The Paperwork,Real Estate Agent 2,2015-01-08T02:58:36+00:00,47
1002,false,4,52,false,true,true,true,6,Check Paperwork,Lawyer 3,2015-01-08T08:32:24+00:00,48
1002,false,4,52,false,true,true,true,6,Screen Prospective Tenant,Real Estate Agent 1,2015-01-09T03:58:58+00:00,49
1002,false,4,52,false,true,true,true,6,Sign Contract,Real Estate Agent 5,2015-01-10T04:57:52+00:00,50
1002,false,4,52,false,true,true,true,6,Move In,Landlord 1,2015-01-11T05:58:22+00:00,51
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-12T06:56:45+00:00,52
1002,false,4,52,false,true,true,true,6,Miss Rent Payment,Tenant,2015-01-13T07:59:39+00:00,53
1002,false,4,52,false,true,true,true,6,Issue Warning,Real Estate Agent 1,2015-01-14T08:58:20+00:00,54
1002,false,4,52,false,true,true,true,6,Accept Late Payment,Real Estate Agent 2,2015-01-15T09:58:41+00:00,55
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-16T10:56:59+00:00,56
1002,false,4,52,false,true,true,true,6,Miss Rent Payment,Tenant,2015-01-17T11:57:16+00:00,57
1002,false,4,52,false,true,true,true,6,Issue Warning,Real Estate Agent 2,2015-01-18T12:57:08+00:00,58
1002,false,4,52,false,true,true,true,6,Accept Late Payment,Real Estate Agent 1,2015-01-19T13:56:46+00:00,59
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-20T14:56:28+00:00,60
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-21T15:54:49+00:00,61
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-22T16:53:40+00:00,62
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-23T17:54:29+00:00,63
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-24T18:56:11+00:00,64
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-25T19:56:33+00:00,65
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-26T20:56:47+00:00,66
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-27T21:57:34+00:00,67
1002,false,4,52,false,true,true,true,6,Pay Rent,Tenant,2015-01-28T22:59:01+00:00,68
1002,false,4,52,false,true,true,true,6,Tenant Cancels Appartment,Tenant,2015-01-29T23:59:05+00:00,69
1003,true,7,54,false,true,true,false,7,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:01:37+00:00,70
1003,true,7,54,false,true,true,false,7,Reject Prospective Tenant,Real Estate Agent 1,2015-01-06T01:01:20+00:00,71
1004,true,4,46,false,true,true,true,8,Apply for Viewing Appointment,Real Estate Agent 5,2015-01-05T00:01:01+00:00,72
1004,true,4,46,false,true,true,true,8,Set Appointment,Real Estate Agent 2,2015-01-06T01:00:24+00:00,73
1004,true,4,46,false,true,true,true,8,View The Property,Real Estate Agent 1,2015-01-07T01:59:36+00:00,74
1004,true,4,46,false,true,true,true,8,Reject Prospective Tenant,Real Estate Agent 2,2015-01-08T02:59:31+00:00,75
1005,false,13,39,false,true,false,true,9,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:37+00:00,76
1005,false,13,39,false,true,false,true,9,Set Appointment,Real Estate Agent 2,2015-01-05T22:14:04+00:00,77
1005,false,13,39,false,true,false,true,9,View The Property,Real Estate Agent 2,2015-01-06T20:28:24+00:00,78
1005,false,13,39,false,true,false,true,9,Hand In The Paperwork,Real Estate Agent 5,2015-01-07T18:42:50+00:00,79
1005,false,13,39,false,true,false,true,9,Check Paperwork,Lawyer 2,2015-01-08T08:35:47+00:00,80
1005,false,13,39,false,true,false,true,9,Screen Prospective Tenant,Real Estate Agent 2,2015-01-08T16:56:07+00:00,81
1005,false,13,39,false,true,false,true,9,Reject Prospective Tenant,Real Estate Agent 1,2015-01-09T15:09:43+00:00,82
1006,false,7,53,true,true,false,true,10,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:00:34+00:00,83
1006,false,7,53,true,true,false,true,10,Set Appointment,Hotline,2015-01-05T22:14:54+00:00,84
1006,false,7,53,true,true,false,true,10,View The Property,Real Estate Agent 2,2015-01-06T20:27:28+00:00,85
1006,false,7,53,true,true,false,true,10,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:41:22+00:00,86
1006,false,7,53,true,true,false,true,10,Check Paperwork,Lawyer 3,2015-01-08T08:34:56+00:00,87
1006,false,7,53,true,true,false,true,10,Screen Prospective Tenant,Real Estate Agent 5,2015-01-08T16:54:35+00:00,88
1006,false,7,53,true,true,false,true,10,Extensive Screening,Real Estate Agent 2,2015-01-09T15:06:32+00:00,89
1006,false,7,53,true,true,false,true,10,Reject Prospective Tenant,Real Estate Agent 2,2015-01-10T13:20:06+00:00,90
1007,false,12,62,false,false,true,false,11,Apply for Viewing Appointment,Real Estate Agent 1,2015-01-05T00:03:11+00:00,91
1007,false,12,62,false,false,true,false,11,Set Appointment,Real Estate Agent 1,2015-01-06T01:02:17+00:00,92
1007,false,12,62,false,false,true,false,11,View The Property,Real Estate Agent 2,2015-01-07T02:02:46+00:00,93
1007,false,12,62,false,false,true,false,11,Hand In The Paperwork,Real Estate Agent 1,2015-01-08T03:02:42+00:00,94
1007,false,12,62,false,false,true,false,11,Check Paperwork,Lawyer 1,2015-01-08T08:36:37+00:00,95
1007,false,12,62,false,false,true,false,11,Screen Prospective Tenant,Real Estate Agent 4,2015-01-09T04:03:37+00:00,96
1007,false,12,62,false,false,true,false,11,Extensive Screening,Real Estate Agent 2,2015-01-10T05:05:04+00:00,97
1007,false,12,62,false,false,true,false,11,Sign Contract,Real Estate Agent 2,2015-01-11T06:05:01+00:00,98
1007,false,12,62,false,false,true,false,11,Move In,Landlord 1,2015-01-12T07:04:42+00:00,99
1007,false,12,62,false,false,true,false,11,Pay Rent,Tenant,2015-01-13T08:06:30+00:00,100
1007,false,12,62,false,false,true,false,11,Pay Rent,Tenant,2015-01-14T09:06:22+00:00,101
1007,false,12,62,false,false,true,false,11,Pay Rent,Tenant,2015-01-15T10:06:36+00:00,102
1007,false,12,62,false,false,true,false,11,Pay Rent,Tenant,2015-01-16T11:06:05+00:00,103
1007,false,12,62,false,false,true,false,11,Pay Rent,Tenant,2015-01-17T12:06:19+00:00,104
1007,false,12,62,false,false,true,false,11,Miss Rent Payment,Tenant,2015-01-18T13:07:26+00:00,105
1007,false,12,62,false,false,true,false,11,Issue Warning,Real Estate Agent 1,2015-01-19T14:07:54+00:00,106
1007,false,12,62,false,false,true,false,11,Evict Tenant,Real Estate Agent 4,2015-01-20T15:08:34+00:00,107
1008,true,10,36,true,true,false,false,12,Apply for Viewing Appointment,Hotline,2015-01-05T00:00:58+00:00,108
1008,true,10,36,true,true,false,false,12,Set Appointment,Hotline,2015-01-05T22:15:10+00:00,109
1008,true,10,36,true,true,false,false,12,View The Property,Real Estate Agent 3,2015-01-06T20:28:24+00:00,110
1008,true,10,36,true,true,false,false,12,Hand In The Paperwork,Real Estate Agent 2,2015-01-07T18:41:47+00:00,111
